Codice articolo (ATS),Material SAP Code (BP),Definire Conti Co.Ge. per,Gruppo articoli,Descrizione articolo,part number,Model Id,SUBCLASS,Technology,Produttore,Gestire n. lotto [Si/No],Gestione numeri di serie,verifica su sap
WMS0002403-NTD,000000000301595293,Gruppo articoli,WMS-VodafoneNTD,CDC2-B,81.86C-CDC2B-R6,CDC2,Unit,TX,INFINERA,No,Si,OK
WMS0002404-NTD,000000000301595299,Gruppo articoli,WMS-VodafoneNTD,"8630 ETSI 600MM RACK ADAPTERS, 1 Pr",81.86R8630ET600-R6,81.86R8630ET600-R6,Accessori,TX,INFINERA,Si,No,OK
WMS0002405-NTD,000000000301595306,Gruppo articoli,WMS-VodafoneNTD,Coriant 8630 Subrack with Fan Modules,81.86S-8630,8630 SUBRACK,Unit,TX,INFINERA,No,Si,OK
WMS0002406-NTD,000000000301595309,Gruppo articoli,WMS-VodafoneNTD,GPS/GLONASS SFP REC for CDC2 8602and8609,81.86C-GNSS-SFP-R6,TRANCEIVER MODULE/GPS/GLONASS SF,Modulo SFP-XPF,TX,INFINERA,No,No,OK
WMS0002407-NTD,000000000301595310,Gruppo articoli,WMS-VodafoneNTD,8-Port Channelized E1/Channelized T1 LM,81.86LE1T082242-R6,8609 8-PORT CH-E1/CH-T1 LM,Unit,TX,INFINERA,No,No,OK
WMS0002408-NTD,000000000301595319,Gruppo articoli,WMS-VodafoneNTD,8609 Fan Module,81.86F-8609-R6,8609 FAN MODULE,Unit,TX,INFINERA,No,No,OK
WMS0002409-NTD,000000000301595326,Gruppo articoli,WMS-VodafoneNTD,8609 R2 Chassis,82.86S-8609,8609 R2 CHASSIS,Unit,TX,INFINERA,No,Si,OK
WMS0002410-NTD,000000000301595327,Gruppo articoli,WMS-VodafoneNTD,8609 Air Filter Spare (10PCS),81.86A-8609FILT,81.86A-8609FILT-R6,Unit,TX,INFINERA,No,No,OK
WMS0002411-NTD,000000000301595332,Gruppo articoli,WMS-VodafoneNTD,4 port STM-1 ATM IFM,81.86MS1A042210,4 PORT STM-1 ATM IFM,Unit,TX,INFINERA,No,Si,OK
WMS0002412-NTD,000000000301595334,Gruppo articoli,WMS-VodafoneNTD,8660 R2 DC48 Power Input Module,82.86P-8660,8660 R2 DC48 POWER INPUT MODULE,Unit,TX,INFINERA,No,No,OK
WMS0002413-NTD,000000000301595335,Gruppo articoli,WMS-VodafoneNTD,8609/8611 DC48 Power Module,81.86P-0911DC48,8609/8611 DC48 Power Module,Unit,TX,INFINERA,No,No,OK
